model,opponent,contract,net_eppd_delta,deals_total,win_rate
anchor_hybrid_r0_full,full_ols_av,pooled,-0.14,50,0.4
stricthellraiser,stricthellraiser,suit,-2.06,50,0.42
stricthellraiser,stricthellraiser,pooled,-2.06,50,0.42
stricthellraiser,rankthetank,suit,-12.12,50,0.1
stricthellraiser,rankthetank,pooled,-12.12,50,0.1
rankthetank,stricthellraiser,suit,10.64,50,0.86
rankthetank,stricthellraiser,pooled,10.64,50,0.86
stricthellraiser,anchor_hybrid_r0_full,suit,-6.28,50,0.2
stricthellraiser,anchor_hybrid_r0_full,pooled,-6.28,50,0.2
anchor_hybrid_r0_full,stricthellraiser,suit,2.9375,48,0.5208
anchor_hybrid_r0_full,stricthellraiser,low,4.0,2,1.0
anchor_hybrid_r0_full,stricthellraiser,pooled,2.98,50,0.54
rankthetank,rankthetank,suit,2.76,50,0.62
rankthetank,rankthetank,pooled,2.76,50,0.62
rankthetank,anchor_hybrid_r0_full,suit,-11.34,50,0.06
rankthetank,anchor_hybrid_r0_full,pooled,-11.34,50,0.06
anchor_hybrid_r0_full,rankthetank,suit,10.46,50,0.9
anchor_hybrid_r0_full,rankthetank,pooled,10.46,50,0.9
anchor_hybrid_r0_full,anchor_hybrid_r0_full,suit,-1.4865,37,0.3243
anchor_hybrid_r0_full,anchor_hybrid_r0_full,high,-3.6,5,0.2
anchor_hybrid_r0_full,anchor_hybrid_r0_full,low,3.3333,3,0.6667
anchor_hybrid_r0_full,anchor_hybrid_r0_full,pooled,-1.26,50,0.3
